Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
   Romania;0;0;30;60;0;20;0;10;110;50;10;10;10;0;100;170;190;160;190;370;430;420;540;800;;;;;
   Slovakia;;;;130;230;270;160;180;170;200;230;330;250;170;150;140;660;1520;2700;2460;3180;3890;5710;4700;;;;;
   Slovenia;;;70;50;70;80;110;100;120;110;140;110;120;100;110;90;110;100;110;120;130;150;360;740;;;;;
   Spain;2650;2680;2870;1680;2370;3970;5950;7790;7000;6390;7530;12370;11660;13650;14370;14530;14610;15200;14410;14450;18030;16720;16590;16360;;;;;
   Sweden;770;1140;1380;1380;2240;2170;2250;2320;1920;1760;1710;1810;2390;2570;2620;5230;5050;5250;5320;5260;5050;5220;5200;5340;;;;;
   United Kingdom;4820;4850;5700;6290;8170;6330;5520;5110;5370;6450;6520;7710;7780;7590;8380;8850;9490;9890;9000;8920;11930;12640;12000;13800;;;;;
Japan;200;340;270;340;270;70;60;190;90;80;320;780;990;1370;870;630;470;870;1790;1260;1430;800;710;920;1110;1170;1110;1130;1240
Norway;80;40;30;30;60;50;70;90;40;50;50;60;60;80;70;100;100;80;70;90;140;100;120;180;140;120;180;190;90
Russian Federation;;;50;0;140;780;650;3280;850;160;270;250;530;930;1290;1510;2440;3400;4210;4400;4550;4630;4790;7620;7260;8640;7940;9560;10540
Switzerland;1660;1510;1550;1660;1960;1750;2430;2800;2540;3020;3130;3810;4420;4230;5120;5670;6210;8420;8830;10660;13130;14140;14250;15470;16160;16410;17480;18610;19460
Tunisia;0;0;0;0;0;0;0;0;0;0;10;10;10;30;10;0;90;0;0;0;30;130;180;100;0;10;0;0;0
USA;8250;10100;13770;17200;25720;18410;20490;24460;24470;21680;20550;20560;21920;27980;26260;24520;27210;27070;28610;28020;31910;37280;33840;32480;33610;29580;31750;29290;29020
