Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Papua New Guinea;1050719;7883529999;9171739996;10546339997;11568369996;10020520002;10900759997;10434369999;13489680002;13201479996;10431571301;10954109998;10570539997;11471679996;10476650115;11996407098;8488072127;9087452539;10959213703;10269728297;9293412071;12245226685;9249300992;81093264;80683394;7114821;11331803071;7941003952;8699459834
Paraguay;2625019999;1200840001;403690006;584419998;549859997;140069995;147940001;97029998;41266;5122;1902;6;61559992;2981867;212318871;231304034;101734265;314927767;8395233;184596;1958143;199421;6549;95267;727681;0;19833;10452;135363
Peru;1105078;10418670001;1061043;7750;1057017;1760467;1679374;1647733;1949254;240733;2361566;2662796;2789464;2503025;3184062;23694378155;38810259992;28794942892;3732567;3073578;381667104;4697069665;43103519216;37360759796;271988985;278983914;39595835934;39458232277;4063938661
Philippines;168282001;1030250002;413159998;347579998;1256699992;573240006;270319997;309289995;210029996;85949999;49972;3014;70079997;123309998;288129993;344145416;380869695;324238816;43929507;67312925;63665458;103260753;30909913;6092139;120375383;148310425;129434741;85486409;39927242
Rwanda;77915;47398;644525;480725;30024;313899;265306;217949;214272;314019;270158;278773;329949;245426;450444;2355991667;3889674653;2555357195;3260684598;3043162559;2959629328;2768116826;250844586;2542667468;2556826782;2626835499;2443354621;2459412701;2656494903
Sierra Leone;139744;103821;4702;40986;61924;71475;28512;469430001;41865;22945;39796;35903;80461;339741004;229460001;203848082;509830177;510899843;257117922;1037334566;575764861;373870282;652700743;569916375;240319576;540397454;25806877;34973872;26546347
Sri Lanka;19137;22168;14724;14464;47359;21896;11536;21136;272659998;172599997;24309996;41429996;29119995;59761442;6913303;25089192;74294345;42543587;1700505;6494178;16552438;23540694;1529592;2801537;23383577;482531;14493613;16893049;15379155
Tanzania;10190519998;8713299987;8277859996;10372959986;632137999;7446529993;9696369995;6551669989;7423049999;6433540005;7403485;8661620001;4961019996;8826650006;5528320004;7117568673;7315407483;8072481667;8179361667;11569443168;5558019331;7980999333;756221317;9347947801;7179569368;708912463;9047976535;6640793199;8560041365
Thailand;10014349995;540937;11637760006;9817820003;11360460002;12095229999;8726859998;10662299995;7780310001;493404001;97033097;11477910002;2532999999;1806349993;4198139997;3745679999;5400988174;3654450574;1750425515;1853875587;369627534;2427539545;3497193662;493077027;273704621;5783290715;1309525718;1411263307;2581336572
Timor-Leste;0;0;0;0;0;0;0;0;0;0;1195;316646336;300256336;459073504;224361888;184012047;493015394;312524211;496075279;431972278;680392678;387211688;558770497;702399165;1110623633;676860052;678533082;862778885;1286684667
Togo;238838;154834;313177;218284;165795;200316;8549;313137;165801;32088;2826;193325;100191;71558;148541;16399795;1178949833;1549078833;1206589;1517037833;1981077;1550841667;1473904467;907565333;1339686333;1781048167;748768333;273287667;11104435
Trinidad & Tobago;302319997;76719977;2451;97439996;53999985;40599984;37569977;39519988;52189988;29669988;30969997;28399995;21449991;17918055;21864285;7738187;7917137;7603987;12597838;1432195;5000756;2998397;14482379;24859161;2137128;19322738;17645473;17999997;28705688
Uganda;235268;2095093;1961034;1829081;3368765;3079261;4654503;3501942;3286012;3840797;2513272;3059763;3357847;2522128;2627011;2368692;2172889;2693187;331065;3014351;2656536;3142011;2685237;3671879;3442351;3595607;3543097;4774033;4223182
Venezuela;277795;127889;135818001;5250020004;3859960001;967520001;4945670001;1045369998;2675629998;4640820001;3836703;259340004;191901;2599515279;1698346224;220685575;648685815;703796585;1254862776;18181522;190843108;467082;23147761;576347;820858;50364;0;0;717729963
Viet Nam;11452340014;1200952;1937611;20718369999;2720911;3546405;3779415;61778340002;64667120002;77270130001;1,16184E+11;1,41064E+11;1,17714E+11;1,16311E+11;1,4859E+11;1,3432E+11;1390470204;1,79362E+11;1,61014E+11;1,70517E+11;1,42286E+11;1,77174E+11;2,29197E+11;1,97178E+11;2,60971E+11;2,06545E+11;2,75681E+11;2,24394E+11;2,78661E+11
Yemen;500000002;716669969;369890016;508530024;92840004;768740028;42007002;797890032;707909994;68004;581039992;658800015;609980006;553268102;446280631;778692027;605650481;722408778;665796;393638493;435304245;352766883;626515962;553491345;569890456;522324134;379012596;464221011;421181308
Zambia;2436;29198;30514;23072;23954;20742;35824;3889;33308;51184;64552;114945;99446;129673;103755;1058024333;779461333;53682;484856667;325476667;178713333;9003;70757268;102548897;52441874;29395502;97911194;125689814;26168988
Zimbabwe;250772;239324;162318;69828;31744;156975;150362;109008;153268;131422;11705728;1045680001;1190890001;974280001;1130079995;708847161;542412331;324034668;231005954;184785659;7434416;45622061;40035378;21808035;113021925;110690096;122870778;23491934;48053098
